months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
177,19,601909,2012-10-11,OH,250/500,964,1505.85,64132,620962,FEMALE,MD,priv-house-serv,yachting,wife,53681,-2671,2015-02-01,Vehicle Theft,U,Minor Damage,None,NY,Riverwood,5901 Elm Drive,17,1,U,2,1,NO,14782,2208,2246,11659,Volkswagen,Highlander,2003,N
291,31,145354,1991-10-05,OH,250/500,500,1672.28,-89145,441535,FEMALE,Masters,farming-fishing,chess,own-child,953,0,2015-01-13,Single Vehicle Collision,Front Collision,Minor Damage,Other,NC,Columbus,6678 Weaver Drive,18,1,NO,1,1,U,81238,7959,7709,33348,Nissan,Malibu,2011,N
479,46,808856,2002-12-21,IN,250/500,500,1590.93,-86706,457163,FEMALE,Associate,farming-fishing,skydiving,unmarried,602,-66,2015-02-10,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Riverwood,6315 2nd Lane,0,1,NO,1,3,U,114920,14519,5682,53231,Ford,Pathfinder,2011,N
320,30,659377,1999-09-20,IN,250/500,1000,1851.15,138851,462202,FEMALE,Associate,tech-support,polo,wife,71624,0,2015-01-15,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Arlington,7797 Tree Ridge,14,1,YES,0,2,NO,85879,14874,13993,57468,Suburu,Tahoe,2007,N
312,21,999435,2011-01-31,IN,250/500,929,1859.15,87810,442974,FEMALE,MD,craft-repair,exercise,unmarried,2595,0,2015-02-09,Parked Car,U,Minor Damage,None,WV,Northbrook,4232 Britain Ridge,12,1,NO,1,3,NO,19502,608,1502,8484,Toyota,Malibu,2006,N
236,28,891946,2006-01-01,OH,500/1000,1005,1267.75,-12153,470864,FEMALE,Masters,tech-support,movies,unmarried,40739,0,2015-02-17,Multi-vehicle Collision,Side Collision,Major Damage,Fire,NY,Northbend,6315 2nd Lane,6,1,YES,1,2,NO,114920,5927,9484,53836,Chevrolet,Maxima,1996,N
155,30,699675,2002-07-16,OH,250/500,983,1653.36,145038,620962,MALE,MD,machine-op-inspct,board-games,own-child,0,-23501,2015-02-13,Multi-vehicle Collision,Side Collision,Total Loss,Police,NC,Northbrook,4905 Best Lane,13,1,NO,1,3,YES,87482,18453,6364,45945,Toyota,A5,2001,Y
287,49,469598,1994-09-12,IL,500/1000,1934,1951.81,-81885,467685,FEMALE,College,priv-house-serv,yachting,not-in-family,1590,-10671,2015-01-19,Parked Car,Side Collision,Minor Damage,Fire,WV,Hillsdale,7782 Rock St,18,1,YES,0,2,U,14508,7811,7075,6002,Jeep,CRV,1996,N
181,27,363256,1999-02-21,OH,250/500,2000,1683.46,110932,430104,FEMALE,JD,sales,reading,wife,49488,-515,2015-01-07,Single Vehicle Collision,Rear Collision,Total Loss,Fire,VA,Riverwood,7819 Oak St,13,1,NO,2,3,U,114920,6413,6933,55942,Chevrolet,Highlander,1995,N
322,28,874807,1991-06-03,OH,500/1000,958,1195.9,-64913,456595,FEMALE,PhD,sales,paintball,unmarried,148,0,2015-01-21,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,8809 Flute St,19,1,NO,1,2,NO,96089,18376,16850,47066,Nissan,Malibu,1997,N
148,28,940579,2001-04-03,OH,100/300,1020,1355.99,-69156,461353,FEMALE,MD,protective-serv,sleeping,wife,66676,-31683,2015-01-31,Vehicle Theft,U,Trivial Damage,Fire,NY,Northbrook,1328 Texas Lane,14,1,U,2,0,U,9430,0,784,8738,Dodge,E400,2008,Y
333,42,967113,1997-03-10,OH,500/1000,1020,1698.33,-45547,493427,MALE,JD,protective-serv,video-games,not-in-family,2888,0,2015-01-26,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,Columbus,6193 1st Hwy,1,1,U,2,3,NO,85740,13633,6619,29941,Chevrolet,Camry,1996,N
208,24,383350,2013-04-15,IL,250/500,1042,1565.23,-176976,442242,FEMALE,MD,machine-op-inspct,camping,husband,0,-31889,2015-02-18,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,NY,Hillsdale,3340 3rd Hwy,21,3,U,1,3,NO,72650,16066,9867,22780,Volkswagen,Highlander,2009,N
229,31,999435,1990-10-19,OH,500/1000,952,1324.01,-51509,474559,MALE,College,tech-support,video-games,husband,2654,-15882,2015-02-21,Vehicle Theft,U,Trivial Damage,Police,SC,Springfield,3196 Cherokee St,20,1,U,2,3,YES,8089,2184,2055,3442,Toyota,Highlander,2006,N
299,44,896641,1991-08-21,OH,500/1000,1842,1504.04,4822438,480247,FEMALE,Associate,transport-moving,basketball,husband,0,0,2015-02-24,Vehicle Theft,Rear Collision,Minor Damage,Police,WV,Hillsdale,7476 4th St,4,1,U,1,2,YES,88208,1847,7029,4474,Nissan,TL,1995,N
314,42,838465,1993-09-30,OH,250/500,988,996.01,-132042,498654,FEMALE,Masters,machine-op-inspct,paintball,other-relative,278,0,2015-02-18,Multi-vehicle Collision,Front Collision,Total Loss,Fire,PA,Northbend,6390 Apache St,1,1,U,2,3,NO,75671,14520,3776,27063,Nissan,Forrestor,2000,N
479,40,932788,1994-02-10,IN,100/300,1914,1648.81,196,454197,MALE,JD,armed-forces,chess,own-child,0,0,2015-02-22,Single Vehicle Collision,Side Collision,Minor Damage,Fire,VA,Hillsdale,7819 2nd Ave,15,1,U,2,3,U,109502,10548,5464,70911,Volkswagen,MDX,2015,N
211,33,768712,1999-12-28,OH,250/500,570,1377.67,6853,440709,MALE,JD,prof-specialty,hiking,wife,60465,0,2015-02-18,Single Vehicle Collision,Side Collision,Total Loss,Fire,NY,Columbus,9070 Tree Ave,19,1,U,0,0,YES,71521,13163,9004,35957,Nissan,Maxima,2005,Y
316,37,566959,2010-09-26,IN,500/1000,547,1528.7,-89064,488944,MALE,PhD,farming-fishing,movies,not-in-family,3325,0,2015-02-11,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Northbrook,8125 Texas Ridge,14,3,U,2,3,NO,85482,6734,5256,48824,Nissan,Jetta,1995,N
171,36,294858,2013-08-26,OH,100/300,1853,1412.25,-8602,447684,MALE,Associate,exec-managerial,movies,unmarried,0,0,2015-02-28,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Northbrook,8920 Best Ave,0,1,U,2,2,U,105460,7829,8389,54734,Chevrolet,Accord,2011,N
224,58,186420,1997-07-27,IN,100/300,986,1173.37,126090,590577,FEMALE,Masters,handlers-cleaners,exercise,unmarried,775,-56634,2015-01-03,Vehicle Theft,U,Minor Damage,Police,NC,Northbend,3006 Lincoln Ridge,10,3,U,0,3,NO,69147,4395,1006,55688,Accura,RAM,2009,N
47,27,317747,2007-03-11,IN,500/1000,1015,1774.53,38448,460081,MALE,MD,tech-support,base-jumping,unmarried,50930,0,2015-02-27,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,8749 Tree St,17,3,YES,2,2,U,86104,8031,4702,61048,Suburu,A3,1998,N
288,36,263420,2001-09-12,OH,500/1000,971,1083.06,17918,496292,FEMALE,Associate,adm-clerical,hiking,husband,49809,-1593,2015-02-07,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,8668 Flute St,3,1,U,1,3,YES,46743,18719,8851,39753,Suburu,A3,2015,N
231,42,830187,2013-12-25,IN,500/1000,538,1788.59,24212,469542,MALE,College,sales,yachting,own-child,2770,-21266,2015-02-28,Single Vehicle Collision,Front Collision,Major Damage,Police,SC,Hillsdale,6603 Francis Hwy,14,1,YES,2,3,U,49640,18312,6206,38848,Nissan,E400,2006,Y
479,36,928358,2002-09-13,IL,500/1000,1059,1490.5,142418,615685,MALE,PhD,machine-op-inspct,chess,unmarried,2996,0,2015-02-01,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,Northbrook,4965 MLK Drive,16,1,YES,0,3,U,84532,8137,7072,29485,Chevrolet,MDX,1995,Y
299,33,539887,2006-01-01,OH,250/500,2000,1586.3,163787,450843,MALE,JD,armed-forces,chess,unmarried,43018,0,2015-02-26,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Arlington,7583 Washington Ave,15,1,U,1,3,NO,90212,6357,8363,44462,Chevrolet,Legacy,2009,Y
172,33,836834,2002-07-16,OH,250/500,1031,1483.65,107440,451776,MALE,College,priv-house-serv,yachting,husband,58600,-1278,2015-02-22,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Northbrook,6515 Oak Lane,4,1,YES,1,2,NO,88606,6593,6307,42970,Suburu,RAM,2007,N
422,43,874615,2010-08-03,OH,250/500,1021,1716.75,145671,446829,MALE,JD,exec-managerial,chess,unmarried,1215,-398,2015-02-05,Multi-vehicle Collision,Side Collision,Minor Damage,Police,PA,Hillsdale,1371 Texas Lane,17,3,NO,0,3,NO,82780,11137,5516,38711,Chevrolet,MDX,1995,Y
316,35,829859,1996-08-23,OH,500/1000,1002,1727.64,-55668,620962,FEMALE,Associate,exec-managerial,golf,wife,0,-1272,2015-01-17,Multi-vehicle Collision,Side Collision,Major Damage,Fire,NY,Northbend,9070 Tree Ave,11,3,YES,2,3,U,83524,6480,7744,53929,Accura,93,2008,Y
334,42,542942,2008-02-25,IN,250/500,2000,1192.83,-27427,438620,FEMALE,JD,sales,board-games,wife,41782,-39116,2015-01-01,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,VA,Columbus,8668 Flute St,6,3,U,1,2,U,65395,7038,5555,50911,Suburu,Camry,1997,N
346,43,100804,2014-01-18,OH,250/500,506,1965.22,-15751,463356,MALE,PhD,transport-moving,bungie-jumping,not-in-family,1179,-63657,2015-01-29,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NC,Northbrook,3930 Embaracadero St,19,1,U,1,3,U,75054,9221,6726,31041,Nissan,Forrestor,2000,N
302,36,451227,1998-01-29,IL,100/300,505,1080.31,5808069,481302,MALE,MD,armed-forces,base-jumping,wife,51212,-2616,2015-01-04,Single Vehicle Collision,Rear Collision,Major Damage,Other,VA,Hillsdale,9942 Tree Ave,8,3,NO,1,0,YES,47115,4945,10733,64860,Suburu,Civic,2005,N
271,38,956275,1990-02-03,OH,500/1000,500,1818.13,-45250,601904,MALE,High School,exec-managerial,polo,unmarried,0,0,2015-01-27,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NC,Riverwood,9744 Texas Drive,11,1,YES,1,0,NO,87754,7779,6742,50941,Ford,RAM,2005,N
141,36,617015,2008-11-07,IL,250/500,1955,1800.26,5710740,589739,FEMALE,MD,exec-managerial,dancing,not-in-family,56226,-8317,2015-02-05,Vehicle Theft,U,Minor Damage,None,NY,Northbrook,3092 Texas Drive,13,1,U,2,1,NO,14200,1793,1584,30934,BMW,92x,2000,N
272,22,787140,2007-03-09,IN,250/500,1011,1601.0,96064,458914,MALE,High School,protective-serv,chess,not-in-family,1894,0,2015-02-21,Vehicle Theft,U,Trivial Damage,None,VA,Springfield,5985 Lincoln Lane,15,1,U,0,0,NO,2281,828,2555,5381,Mercedes,TL,2000,N
247,22,637766,2008-09-03,IL,250/500,984,1766.62,24977,441114,FEMALE,Associate,machine-op-inspct,paintball,husband,724,-1087,2015-02-25,Single Vehicle Collision,Side Collision,Minor Damage,Fire,WV,Northbend,9020 Elm Ave,10,1,NO,2,0,NO,81321,12316,11371,56346,Accura,3 Series,2008,N
126,34,806591,2008-01-07,IL,500/1000,1012,1233.37,6132950,454014,FEMALE,College,prof-specialty,hiking,unmarried,62093,-28616,2015-01-12,Single Vehicle Collision,Side Collision,Total Loss,Police,VA,Hillsdale,1553 Lincoln St,23,1,U,2,2,U,59244,14128,15242,39409,Mercedes,TL,1995,N
298,34,510419,1994-08-23,IL,250/500,509,1846.92,39368,454110,FEMALE,MD,tech-support,dancing,wife,743,-62283,2015-01-26,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbrook,4835 Britain Ridge,0,1,U,2,3,NO,2472,706,5937,3676,Nissan,95,2001,N
262,33,905405,2010-01-24,IL,250/500,1928,1509.18,7614944,482778,FEMALE,JD,adm-clerical,video-games,unmarried,2273,-33789,2015-02-18,Single Vehicle Collision,U,Minor Damage,Police,SC,Hillsdale,5663 Oak Lane,3,1,U,1,3,YES,9018,2077,2485,9632,Chevrolet,RSX,2011,N
351,27,561564,2004-08-13,IL,250/500,969,1810.07,138310,609982,MALE,Masters,other-service,movies,unmarried,65633,0,2015-01-02,Parked Car,U,Trivial Damage,Police,SC,Riverwood,9744 Texas Drive,7,1,NO,0,1,U,5637,43,1884,9165,Volkswagen,Camry,1999,N
256,47,387398,2002-04-19,OH,500/1000,505,1183.27,-14119,609577,FEMALE,PhD,sales,base-jumping,not-in-family,299,0,2015-02-13,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Hillsdale,6957 Weaver Drive,22,4,U,2,3,U,2024,14731,833,47013,Accura,Pathfinder,2006,Y
331,29,765213,2007-02-07,OH,500/1000,1065,1566.44,118397,444523,FEMALE,MD,prof-specialty,camping,unmarried,78991,0,2015-02-25,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Riverwood,4907 Andromedia Drive,13,1,NO,2,1,U,86856,4851,13957,42204,Mercedes,Fusion,2004,N
127,26,463339,1999-09-29,OH,250/500,1027,1187.45,5691918,465192,MALE,Masters,farming-fishing,board-games,husband,37889,0,2015-02-26,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,SC,Hillsdale,9588 Solo St,8,1,YES,1,3,NO,95728,5595,5373,42410,Toyota,Neon,2000,Y
124,36,986324,2004-05-31,IN,100/300,968,1177.12,48202,463954,MALE,MD,tech-support,camping,other-relative,42,0,2015-02-10,Single Vehicle Collision,Side Collision,Trivial Damage,Fire,OH,Columbus,5280 Pine Ave,12,3,NO,0,2,U,52261,11596,11307,42716,Saab,Camry,2006,N
116,26,999435,1995-03-28,OH,250/500,1971,1250.61,6589874,433237,MALE,Masters,sales,exercise,unmarried,48815,0,2015-01-06,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Riverwood,7476 4th St,19,1,NO,1,2,U,83685,9768,13069,47531,Toyota,RAM,2011,N
298,41,937728,1997-03-10,OH,250/500,2000,1590.28,17708,457931,MALE,Masters,prof-specialty,video-games,wife,77259,0,2015-02-25,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Springfield,8281 Lincoln Lane,5,3,YES,2,2,NO,58742,13126,7940,21115,Audi,Maxima,1995,Y
302,19,999435,2006-03-28,OH,100/300,974,1700.03,10000000,437856,FEMALE,MD,protective-serv,video-games,other-relative,4516,0,2015-02-21,Vehicle Theft,U,Trivial Damage,None,WV,Northbrook,4614 MLK Ave,22,1,YES,2,2,NO,18059,457,1912,11061,Dodge,RAM,2011,N
302,26,353494,1993-12-07,IN,250/500,1010,1674.36,7675234,460888,FEMALE,PhD,handlers-cleaners,chess,unmarried,39333,0,2015-01-27,Multi-vehicle Collision,Side Collision,Total Loss,Other,NY,Northbend,8336 1st Ridge,2,3,U,2,2,NO,97689,4338,11393,40772,Mercedes,Forrestor,2005,Y
249,27,932587,1990-10-19,OH,250/500,930,1690.06,40504,482724,FEMALE,JD,other-service,paintball,other-relative,976,0,2015-01-18,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Northbend,1331 Britain Hwy,1,1,YES,0,3,NO,55522,6507,1132,60676,Chevrolet,Passat,2015,N
446,36,328454,1990-03-14,OH,500/1000,1043,1512.98,-31773,434563,MALE,Associate,transport-moving,paintball,not-in-family,56521,-671,2015-01-18,Vehicle Theft,Front Collision,Minor Damage,Other,NY,Northbrook,6435 Texas Ave,17,4,NO,1,1,U,51864,5494,15034,29519,Ford,95,1997,N
279,34,710484,1991-01-13,OH,500/1000,988,1411.39,111213,469654,FEMALE,PhD,tech-support,dancing,other-relative,1946,-1302,2015-01-14,Multi-vehicle Collision,Side Collision,Major Damage,Fire,NY,Arlington,4158 Washington Lane,21,1,YES,2,2,NO,56435,9265,7680,53264,Toyota,A3,2006,N
320,39,484264,2012-08-30,OH,250/500,500,1685.23,-125111,463247,FEMALE,College,sales,basketball,unmarried,0,-38396,2015-02-22,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Hillsdale,6315 2nd Lane,16,3,YES,0,2,U,90299,6752,5875,57622,Chevrolet,Jetta,2004,N
273,29,538613,2007-03-11,IL,500/1000,500,1719.05,3289340,620962,MALE,JD,armed-forces,skydiving,unmarried,0,0,2015-02-25,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,VA,Hillsdale,5051 Elm St,1,1,YES,2,0,U,92135,5461,6203,54230,Nissan,Passat,2002,N
233,23,567430,2000-10-03,IL,500/1000,982,1647.2,-99116,473719,FEMALE,High School,adm-clerical,sleeping,own-child,43545,0,2015-02-02,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,VA,Riverwood,3397 5th Ave,13,3,YES,2,3,NO,62588,7846,16324,47584,Toyota,92x,2004,Y
383,39,559518,2009-04-10,OH,250/500,997,1438.49,18600,472262,MALE,College,exec-managerial,hiking,other-relative,3389,0,2015-02-18,Single Vehicle Collision,Side Collision,Minor Damage,Other,NY,Springfield,2865 Maple Lane,23,1,U,0,0,U,61611,5930,16797,26086,Nissan,Accord,1996,N
283,29,765733,2010-09-27,IN,250/500,941,1446.98,55352,444341,FEMALE,Associate,tech-support,video-games,not-in-family,40462,0,2015-01-14,Multi-vehicle Collision,U,Minor Damage,Fire,NY,Northbrook,5312 Francis Ridge,7,1,U,2,2,NO,16245,1569,2435,5187,Volkswagen,RSX,1995,N
288,34,629550,2002-12-28,OH,250/500,511,1423.98,-28400,502249,FEMALE,High School,transport-moving,dancing,wife,1032,-59994,2015-01-30,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Northbend,4625 MLK Drive,16,1,YES,1,2,NO,39540,6449,9337,40044,Chevrolet,TL,2003,Y
348,36,999435,1991-04-13,IL,500/1000,966,1759.9,-36252,446346,MALE,Masters,prof-specialty,skydiving,wife,3265,-22822,2015-02-16,Single Vehicle Collision,Side Collision,Total Loss,Fire,NY,Columbus,5312 Francis Ridge,18,3,U,1,1,U,79290,14992,6212,41632,Nissan,Highlander,2002,Y
121,20,303937,1991-12-25,OH,250/500,2000,1969.49,-17962,620962,FEMALE,College,sales,kayaking,unmarried,664,-186,2015-01-05,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NY,Springfield,9935 4th Drive,23,1,YES,1,2,NO,87797,15420,17478,61496,Jeep,Highlander,1996,N
298,24,999435,2007-03-09,OH,250/500,500,1856.09,133130,461857,MALE,MD,protective-serv,video-games,unmarried,3229,0,2015-02-03,Vehicle Theft,U,Trivial Damage,None,WV,Riverwood,9742 5th Ridge,8,1,YES,0,2,NO,2725,1727,2614,7205,Mercedes,E400,2011,N
179,33,547154,1998-12-11,OH,500/1000,2000,1271.03,21361,455395,FEMALE,JD,other-service,yachting,own-child,0,-67200,2015-01-27,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NC,Arlington,9020 Elm Ave,6,4,U,2,0,U,61884,8766,7804,69584,Accura,Neon,2007,N
239,26,591011,2001-06-09,IN,100/300,993,1298.92,6034911,463231,FEMALE,MD,other-service,board-games,wife,42072,0,2015-02-24,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NY,Columbus,5022 1st St,7,3,NO,0,2,U,94997,9009,2728,44479,Volkswagen,RAM,2005,N
113,38,999435,2002-11-28,OH,250/500,2000,1458.8,15921,460824,MALE,MD,armed-forces,exercise,unmarried,61826,-24826,2015-02-17,Parked Car,U,Minor Damage,Ambulance,NY,Northbrook,2809 Francis Lane,0,1,U,2,3,YES,75493,0,118,318,Volkswagen,Escape,2003,N
276,35,784977,2009-07-29,IN,250/500,1014,1489.82,72119,432186,FEMALE,Associate,sales,chess,other-relative,0,0,2015-02-24,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,Northbend,7544 Washington Ave,18,1,NO,2,1,U,54212,7883,7912,41102,Accura,Camry,2000,N
479,19,984303,2006-03-28,OH,500/1000,928,1168.39,33806,452281,FEMALE,MD,farming-fishing,video-games,wife,446,0,2015-02-10,Parked Car,U,Trivial Damage,None,NY,Northbrook,5985 Lincoln Lane,10,1,YES,1,2,NO,14537,2074,2902,10239,Chevrolet,Camry,2007,N
237,32,197075,1995-12-07,OH,500/1000,1022,1778.42,-24876,473564,FEMALE,JD,farming-fishing,hiking,unmarried,47703,0,2015-01-11,Single Vehicle Collision,Side Collision,Major Damage,Other,NC,Springfield,1833 Solo Ave,5,1,NO,2,0,U,84425,7065,8083,50809,Volkswagen,Grand Cherokee,1995,N
479,23,999435,1995-07-16,OH,500/1000,1994,1711.02,95002,483905,FEMALE,High School,protective-serv,dancing,own-child,3909,0,2015-02-10,Vehicle Theft,U,Trivial Damage,Police,WV,Northbrook,9639 Britain Ridge,9,1,U,0,2,NO,18754,334,2659,12110,Saab,3 Series,2005,N
425,36,911651,1992-04-28,OH,100/300,1929,1770.84,74355,606647,FEMALE,Masters,sales,cross-fit,husband,52388,0,2015-02-26,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,SC,Columbus,2777 Solo Drive,15,1,YES,1,3,YES,82053,15778,7125,60413,Volkswagen,Tahoe,2009,Y
479,53,100804,1995-10-18,IN,250/500,2000,1113.97,6634099,470715,MALE,College,other-service,video-games,husband,42973,-46346,2015-01-15,Single Vehicle Collision,Side Collision,Total Loss,Fire,OH,Arlington,7476 4th St,17,3,YES,1,3,U,85992,4795,14346,29830,Ford,MDX,2010,N
313,50,999435,1999-05-29,OH,250/500,1975,1405.57,-15479,476576,MALE,MD,protective-serv,hiking,unmarried,1889,0,2015-02-04,Multi-vehicle Collision,Front Collision,Total Loss,Fire,VA,Arlington,6193 1st Hwy,3,1,U,2,1,YES,89856,8730,7460,30556,Chevrolet,Legacy,2006,N
317,26,893128,1995-11-13,OH,500/1000,942,1190.61,16747,475182,FEMALE,Associate,transport-moving,video-games,wife,119,-40405,2015-01-18,Vehicle Theft,U,Trivial Damage,Police,VA,Arlington,6149 Best Ridge,8,1,U,1,1,YES,17379,1904,3017,9046,Chevrolet,Forrestor,2000,N
153,50,915462,1995-09-06,IL,100/300,1014,1677.87,110179,452466,FEMALE,PhD,machine-op-inspct,polo,wife,840,0,2015-01-06,Single Vehicle Collision,Side Collision,Minor Damage,Fire,WV,Northbrook,7397 4th Drive,11,1,YES,0,2,NO,83367,8347,5443,38150,Nissan,Highlander,2008,N
319,45,888166,2003-01-18,OH,500/1000,2000,1385.18,-57476,487714,FEMALE,JD,priv-house-serv,hiking,wife,1959,0,2015-02-02,Multi-vehicle Collision,Front Collision,Minor Damage,Police,WV,Hillsdale,8125 Texas Ridge,0,1,YES,1,2,YES,71365,15950,6217,38672,Volkswagen,A3,1995,N
179,45,297336,1990-05-25,IN,250/500,1909,1665.92,9531,478244,FEMALE,JD,protective-serv,kayaking,own-child,1267,-975,2015-02-11,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NC,Springfield,8749 Tree St,20,1,U,2,3,YES,63503,7700,7178,66909,Dodge,A3,2012,Y
